,Driver,TeamId,GridPosition,TotalSectorTime (s),Grid_Gap_to_Pole,Quali_vs_Teammate,Race,Year,CleanAirPace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Pressure,Rain,WindSpeed,TrackTemp,Is_Monza
232,STR,aston_martin,16.0,72.81467647058822,15.0,2.5,Austria,2025,65.022,0.6980000000000075,-9.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
233,COL,alpine,14.0,72.90591176470589,13.0,2.0,Austria,2025,65.546,1.2220000000000084,4.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
234,TSU,red_bull,18.0,73.37916417910448,17.0,5.5,Austria,2025,65.139,0.8149999999999977,-9.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
235,ALB,williams,12.0,78.43221428571428,11.0,-3.5,Austria,2025,65.314,0.9899999999999949,1.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
236,VER,red_bull,7.0,,6.0,-5.5,Austria,2025,64.534,0.21000000000000796,-4.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
237,ANT,mercedes,9.0,,8.0,2.0,Austria,2025,65.053,0.7289999999999992,-1.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
238,SAI,williams,19.0,,18.0,3.5,Austria,2025,65.326,1.0019999999999953,-5.0,30.347826086956523,943.3447204968944,False,1.6180124223602483,49.166459627329196,0
239,NOR,mclaren,3.0,105.49040000000001,2.0,0.5,Silverstone,2025,85.606,0.10799999999998988,1.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
240,PIA,mclaren,2.0,105.31433333333334,1.0,-0.5,Silverstone,2025,85.566,0.06799999999999784,0.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
241,HUL,sauber,19.0,106.41673333333334,18.0,1.5,Silverstone,2025,86.499,1.0009999999999906,-3.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
242,HAM,ferrari,5.0,107.62265217391305,4.0,-0.5,Silverstone,2025,86.117,0.6189999999999998,2.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
243,VER,red_bull,1.0,106.60366666666668,0.0,-5.0,Silverstone,2025,85.585,0.08699999999998909,2.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
244,GAS,alpine,8.0,108.03241304347827,7.0,-6.0,Silverstone,2025,87.174,1.676000000000002,11.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
245,STR,aston_martin,17.0,106.86786666666666,16.0,5.0,Silverstone,2025,86.43,0.9320000000000022,-2.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
246,ALB,williams,13.0,108.21334782608696,12.0,2.0,Silverstone,2025,86.119,0.6209999999999951,-5.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
247,ALO,aston_martin,7.0,108.22323913043479,6.0,-5.0,Silverstone,2025,86.876,1.3780000000000001,11.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
